id,src_x,src_y,dst_x,dst_y
0,575,8,2360,391
1,536,18,2213,431
2,527,36,2184,501
3,565,42,2320,564
4,642,56,2599,666
5,551,110,2253,873
6,660,137,2646,1049
7,571,137,2318,1002
8,518,147,2121,1023
9,646,177,2582,1226
10,535,210,2155,1311
11,520,236,2103,1422
12,565,262,2262,1546
13,551,298,2203,1682
14,580,352,2301,1921
15,626,348,2473,1927
16,668,360,2626,1999
17,508,425,2021,2177
18,534,449,2112,2283
19,641,448,2500,2326
20,661,467,2580,2422
21,527,530,2073,2606
22,623,532,2424,2664
23,582,607,2262,2945
24,536,656,2085,3111
25,634,628,2449,3058
26,548,693,2124,3272
27,585,694,2261,3288
28,636,675,2450,3244
29,692,648,2665,3161
30,364,694,1447,3184
31,454,637,1787,2994
32,368,603,1476,2818
33,332,571,1347,2674
34,357,554,1440,2617
35,377,524,1518,2507
36,386,490,1558,2357
37,260,536,1083,2489
38,372,471,1513,2284
39,345,451,1416,2184
40,329,429,1361,2094
41,334,377,1390,1884
42,448,369,1809,1921
43,331,249,1406,1367
44,322,275,1365,1470
45,336,222,1428,1258
46,372,188,1567,1130
47,324,66,1420,543
48,370,76,1587,616
49,368,16,1593,328
50,384,12,1651,310
51,383,2,1648,201
52,158,5,817,148
53,110,149,615,814
54,11,196,230,972
55,147,200,733,1061
56,27,243,278,1187
57,11,294,207,1386
58,157,375,736,1795
59,159,442,733,2053
60,106,448,532,2054
61,18,458,205,2042
62,7,424,173,1905
63,33,511,255,2265
64,111,493,543,2244
65,156,472,714,2167
66,29,558,230,2463
67,29,574,227,2526
68,40,598,267,2617
69,115,546,550,2459
70,9,685,137,2958
71,10,709,132,3068
72,124,693,562,3051
73,173,670,747,2990
74,0,151,186,724
75,73,119,479,643
76,39,35,375,246
77,226,85,1055,584
78,104,249,554,1248
79,256,232,1129,1257
80,204,300,920,1504
81,259,143,1164,874
82,346,148,1486,934
83,459,86,1912,705
84,438,17,1853,370
85,408,304,1677,1639
86,515,322,2073,1726
87,223,585,944,2666
88,258,421,1093,2019
89,462,202,1903,1235
90,315,646,1274,2964
91,87,322,487,1546
92,142,75,746,489
93,97,632,465,2792
94,460,486,1831,2386
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
